source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-21_meteoformulas.compute_120.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-8_meteoformulas.compute_120.ptx , compute_120 , nvcc , 569.0369 , ms
C:/OwnPrograms/skewTCloudSim/Game/dataClass.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/dataClass.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00000ca0_00000000-17_dataClass.compute_86.cpp1.ii , compute_86 , nvcc , 399.8616 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelGround.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-17_kernelGround.compute_86.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-9_kernelGround.compute_86.ptx , compute_86 , nvcc , 759.1745 , ms
C:/OwnPrograms/skewTCloudSim/Game/environment.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_0000949c_00000000-13_environment.compute_75.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_0000949c_00000000-10_environment.compute_75.ptx , compute_75 , nvcc , 1200.0286 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelMaths.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/kernelMaths.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000092c8_00000000-17_kernelMaths.compute_86.cpp1.ii , compute_86 , nvcc , 390.7116 , ms
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-8_meteoformulas.compute_120.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-24_meteoformulas.compute_120.sm_120.cubin , sm_120 , nvcc , 174.0601 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelGround.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-9_kernelGround.compute_86.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-20_kernelGround.compute_86.sm_86.cubin , sm_86 , nvcc , 187.9693 , ms
C:/OwnPrograms/skewTCloudSim/Game/environment.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_0000949c_00000000-10_environment.compute_75.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_0000949c_00000000-16_environment.compute_75.sm_75.cubin , sm_75 , nvcc , 183.1836 , ms
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-25_meteoformulas.compute_52.cpp1.ii , compute_52 , nvcc , 175.5634 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelSky.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_00008d50_00000000-13_kernelSky.compute_75.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008d50_00000000-10_kernelSky.compute_75.ptx , compute_75 , nvcc , 1613.0240 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelGround.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/kernelGround.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-21_kernelGround.compute_120.cpp1.ii , compute_120 , nvcc , 340.6201 , ms
C:/OwnPrograms/skewTCloudSim/Game/microPhysics.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_000097c0_00000000-17_microPhysics.compute_86.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000097c0_00000000-9_microPhysics.compute_86.ptx , compute_86 , nvcc , 952.9245 , ms
C:/OwnPrograms/skewTCloudSim/Game/environment.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/environment.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_0000949c_00000000-17_environment.compute_86.cpp1.ii , compute_86 , nvcc , 483.5310 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelTest.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_00008bc8_00000000-17_kernelTest.compute_86.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008bc8_00000000-9_kernelTest.compute_86.ptx , compute_86 , nvcc , 987.3644 , ms
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-25_meteoformulas.compute_52.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-7_meteoformulas.compute_52.ptx , compute_52 , nvcc , 590.7229 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelSky.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008d50_00000000-10_kernelSky.compute_75.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008d50_00000000-16_kernelSky.compute_75.sm_75.cubin , sm_75 , nvcc , 497.7365 , ms
C:/OwnPrograms/skewTCloudSim/Game/microPhysics.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_000097c0_00000000-9_microPhysics.compute_86.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000097c0_00000000-20_microPhysics.compute_86.sm_86.cubin , sm_86 , nvcc , 398.5857 , ms
C:/OwnPrograms/skewTCloudSim/Game/dataClass.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_00000ca0_00000000-17_dataClass.compute_86.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00000ca0_00000000-9_dataClass.compute_86.ptx , compute_86 , nvcc , 1017.7359 , ms
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-7_meteoformulas.compute_52.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-28_meteoformulas.compute_52.sm_52.cubin , sm_52 , nvcc , 190.2291 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelTest.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008bc8_00000000-9_kernelTest.compute_86.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008bc8_00000000-20_kernelTest.compute_86.sm_86.cubin , sm_86 , nvcc , 193.0491 , ms
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , fatbinary , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-16_meteoformulas.compute_75.sm_75.cubin C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-10_meteoformulas.compute_75.ptx C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-20_meteoformulas.compute_86.sm_86.cubin C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-9_meteoformulas.compute_86.ptx C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-24_meteoformulas.compute_120.sm_120.cubin C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-8_meteoformulas.compute_120.ptx C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-28_meteoformulas.compute_52.sm_52.cubin C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-7_meteoformulas.compute_52.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-4_meteoformulas.fatbin ,  , nvcc , 41.9366 , ms
C:/OwnPrograms/skewTCloudSim/Game/dataClass.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_00000ca0_00000000-9_dataClass.compute_86.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00000ca0_00000000-20_dataClass.compute_86.sm_86.cubin , sm_86 , nvcc , 190.9395 , ms
